ticker,company,sector,cik,in_sp500,in_nasdaq,in_fortune500,quarters
WLII,Willow Lane Acquisition Corp. II,,0002083946,False,True,False,1
XCBE,X3 Acquisition Corp. Ltd.,,0002083493,False,True,False,1
XNDU,Xanadu Quantum Technologies Limited,,0002097163,False,True,False,1
ZKP,Lafayette Digital Acquisition Corp. I,,0002087447,False,True,False,1
AACI,Armada Acquisition Corp. III,,0002092897,False,True,False,2
AIAI,AIAI Holdings Corporation,,0002096362,False,True,False,2
AKTS,"Aktis Oncology, Inc.",,0002035832,False,True,False,2
ALMR,"Alamar Biosciences, Inc.",,0002104204,False,True,False,2
AMSS,AMASS Brands Inc.,,0001851491,False,True,False,2
APC,ARKO Petroleum Corp.,,0002080921,False,True,False,2
APXT,Apex Treasury Corporation,,0002079253,False,True,False,2
ARCL,ARC Group Acquisition I Corp,,0002073515,False,True,False,2
ATCX,Atlas Critical Minerals Corporation,,0001684688,False,True,False,2
AVLN,Avalyn Pharma Inc.,,0001540171,False,True,False,2
BGL,Blue Gold Limited,,0002019435,False,True,False,2
BIXI,Bitcoin Infrastructure Acquisition Corp Ltd.,,0002082542,False,True,False,2
BLRK,Bluerock Acquisition Corp.,,0002081532,False,True,False,2
BLZR,Trailblazer Acquisition Corp.,,0002075310,False,True,False,2
BRR,"ProCap Financial, Inc.",,0002076163,False,True,False,2
BRRWW,"ProCap Financial, Inc.",,0002076163,False,True,False,2
CBRS,Cerebras Systems Inc.,,0002021728,False,True,False,2
CNXU,Conexeu Sciences Inc.,,0002066836,False,True,False,2
COAG,"Hemab Therapeutics Holdings, Inc.",,0002114044,False,True,False,2
CRAC,Crown Reserve Acquisition Corp. I,,0002070887,False,True,False,2
CRE,Cre8 Enterprise Limited,,0002003977,False,True,False,2
CTAA,ClearThink 1 Acquisition Corp.,,0002094073,False,True,False,2
CUPR,Cuprina Holdings (Cayman) Limited,,0001995704,False,True,False,2
CYAB,"Cyabra, Inc.",,0002032341,False,True,False,2
DNMX,Dynamix Corporation III,,0002081125,False,True,False,2
DYOR,Insight Digital Partners II,,0002079292,False,True,False,2
EIKN,"Eikon Therapeutics, Inc.",,0001861123,False,True,False,2
ELMT,The Elmet Group Co.,,0002101698,False,True,False,2
EVOX,Evolution Global Acquisition Corp,,0002077954,False,True,False,2
EXYN,"Exyn Technologies, Inc.",,0001960355,False,True,False,2
FCHL,Fitness Champs Holdings Limited,,0002023796,False,True,False,2
FMAC,Future Money Acquisition Corporation,,0002099232,False,True,False,2
FOFO,"Hang Feng Technology Innovation Co., Ltd.",,0002060083,False,True,False,2
FRVO,Fervo Energy Company,,0001853868,False,True,False,2
FTRK,FAST TRACK GROUP,,0002027262,False,True,False,2
GENB,"Generate Biomedicines, Inc.",,0002100782,False,True,False,2
GIW,GigCapital8 Corp.,,0002080019,False,True,False,2
GLE,Global Engine Group Holding Limited,,0001908705,False,True,False,2
GLXG,Galaxy Payroll Group Limited,,0001905920,False,True,False,2
HACQ,HCM IV Acquisition Corp.,,0002089982,False,True,False,2
HCMA,HCM III Acquisition Corp.,,0002069856,False,True,False,2
HLXC,Helix Acquisition Corp. III,,0002099656,False,True,False,2
HMH,HMH Holding Inc.,,0002021880,False,True,False,2
HVMC,Highview Merger Corp.,,0002070602,False,True,False,2
IACO,Idea Acquisition Corp.,,0002091176,False,True,False,2
IBG,Innovation Beverage Group Limited,,0001924482,False,True,False,2
ICON,Icon Energy Corp.,,0001995574,False,True,False,2
ILLU,Illumination Acquisition Corp I,,0002101135,False,True,False,2
INIO,INNIO N.V.,,0002109150,False,True,False,2
ITHA,ITHAX Acquisition Corp III,,0002080985,False,True,False,2
JDZG,JIADE LIMITED,,0001976908,False,True,False,2
KBON,Karbon Capital Partners Corp.,,0002088749,False,True,False,2
KLRA,"Kailera Therapeutics, Inc.",,0002096997,False,True,False,2
LABT,Lakewood-Amedex Biotherapeutics Inc.,,0002079272,False,True,False,2
LATA,Galata Acquisition Corp. II,,0002076427,False,True,False,2
LFAC,Leapfrog Acquisition Corporation,,0002084563,False,True,False,2
LMRI,"Lumexa Imaging Holdings, Inc.",,0002071288,False,True,False,2
LPCV,Launchpad Cadenza Acquisition Corp I,,0002083728,False,True,False,2
